epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.58988,2.79342,4.28822,2.98804,0.0022,0.42424,0.00384,0.00092,2.82222,3.43375,3.20662,1.25e-05,1.25e-05,1.25e-05
2,4.94628,2.73568,4.18239,2.96686,0.00251,0.55303,0.00561,0.00111,2.78041,3.43372,3.17602,3.10438e-05,3.10438e-05,3.10438e-05
3,6.52794,2.6659,4.21395,2.97027,0.00188,0.4697,0.00779,0.00126,2.76785,3.43189,3.15833,4.934e-05,4.934e-05,4.934e-05
4,7.65088,2.61414,4.20756,2.85159,0.00378,0.90152,0.02316,0.00515,1.95015,3.42945,2.42996,6.73887e-05,6.73887e-05,6.73887e-05
5,8.7574,2.29616,4.19877,2.53451,0.00387,1,0.03456,0.01643,0.89076,3.42667,1.53195,8.519e-05,8.519e-05,8.519e-05
6,9.86431,1.64986,3.92813,2.168,0.00395,1,0.06716,0.0348,0.69292,3.42422,1.35415,0.000102744,0.000102744,0.000102744
7,10.967,1.41776,3.91225,2.0005,0.00421,1,0.09739,0.0595,0.70221,3.42028,1.35374,0.00012005,0.00012005,0.00012005
8,12.0458,1.32075,3.84287,1.92196,0.00427,1,0.13456,0.08842,0.66811,3.41394,1.3364,0.000137109,0.000137109,0.000137109
9,13.3279,1.25266,3.82755,1.88286,0.00449,1,0.08882,0.05877,0.59961,3.40214,1.26908,0.00015392,0.00015392,0.00015392
10,14.3683,1.23201,3.7946,1.83327,0.00475,1,0.08372,0.06219,0.60554,3.39547,1.25563,0.000170484,0.000170484,0.000170484
11,15.4391,1.12591,3.7154,1.75152,0.00387,0.93939,0.12273,0.08767,0.54876,3.38185,1.13265,0.0001868,0.0001868,0.0001868
12,16.4645,1.07335,3.6409,1.7582,0.00382,0.93939,0.13885,0.09733,0.50733,3.36651,1.074,0.000202869,0.000202869,0.000202869
13,18.0263,1.06647,3.59144,1.71926,0.00409,0.9697,0.12714,0.09065,0.5355,3.32838,1.07941,0.00021869,0.00021869,0.00021869
14,19.461,0.99127,3.57414,1.64323,0.00418,1,0.24556,0.18593,0.57754,3.29218,1.11156,0.000234264,0.000234264,0.000234264
15,20.5439,0.90324,3.49107,1.62398,0.00397,1,0.22536,0.16543,0.6837,3.22522,1.2188,0.00024959,0.00024959,0.00024959
16,21.5663,1.01458,3.49575,1.66485,0.00387,1,0.25229,0.18132,0.77497,3.19469,1.31827,0.000264669,0.000264669,0.000264669
17,22.5901,0.97215,3.36831,1.64541,0.00373,1,0.22554,0.14802,0.86881,3.14747,1.43143,0.0002795,0.0002795,0.0002795
18,23.6404,1.05961,3.31557,1.73075,0.00377,1,0.24896,0.16719,0.91726,3.08032,1.50438,0.000294084,0.000294084,0.000294084
19,24.6811,0.89243,3.24999,1.548,0.00383,1,0.21239,0.12894,0.93536,3.038,1.57195,0.00030842,0.00030842,0.00030842
20,25.7191,1.00201,3.20533,1.63873,0.00379,1,0.22447,0.14726,1.03739,3.02029,1.72466,0.000322509,0.000322509,0.000322509
21,26.7403,1.07537,3.25443,1.72047,0.00373,0.95455,0.1692,0.11509,1.02974,3.01342,1.6562,0.00033635,0.00033635,0.00033635
22,27.7662,1.04502,3.07948,1.74848,0.00393,1,0.19964,0.14307,0.96294,2.97604,1.56772,0.000349944,0.000349944,0.000349944
23,28.8772,0.98252,3.22855,1.64479,0.00399,0.95455,0.21498,0.16881,1.02441,2.93614,1.68495,0.00036329,0.00036329,0.00036329
24,30.3473,0.87565,2.99739,1.55652,0.00435,1,0.23854,0.17875,1.17104,2.98948,1.85461,0.000376389,0.000376389,0.000376389
25,31.8591,0.77275,3.02899,1.46933,0.00469,0.95455,0.21714,0.12532,1.56566,3.00155,2.3044,0.00038924,0.00038924,0.00038924
26,33.0051,0.98599,3.05096,1.62743,0.00461,0.95455,0.22927,0.12362,1.77113,2.96101,2.42426,0.000401844,0.000401844,0.000401844
27,34.0467,0.9766,2.916,1.63542,0.70457,0.20621,0.23184,0.12642,1.6953,2.87313,2.28593,0.0004142,0.0004142,0.0004142
